lemma,lemma_rank,word_rank
the,1,1
of,2,2
and,3,3
to,4,4
a,5,5
in,6,6
that,7,7
I,8,8
be,9,9
he,10,10
his,11,11
with,12,12
it,13,14
for,14,15
as,15,16
have,16,17
you,17,18
not,18,19
on,19,21
at,20,22
by,21,23
she,22,24
which,23,25
or,24,27
from,25,28
this,26,29
but,27,30
all,28,31
they,29,35
my,30,36
so,31,38
their,32,40
an,33,41
one,34,42
de,35,43
we,36,44
who,37,45
would,38,46
say,39,47
no,40,49
will,41,51
when,42,53
if,43,54
there,44,55
more,45,56
out,46,57
any,47,60
up,48,61
into,49,62
your,50,63
do,51,65
what,52,66
could,53,67
our,54,69
than,55,70
other,56,71
some,57,72
very,58,73
man,59,74
upon,60,75
about,61,76
its,62,77
only,63,78
time,64,79
may,65,80
la,66,81
like,67,82
little,68,83
then,69,84
now,70,85
should,71,86
can,72,87
make,73,88
such,74,90
great,75,92
must,76,94
these,77,95
two,78,96
before,79,97
see,80,98
over,81,100
et,82,101
much,83,102
know,84,103
after,85,104
first,86,106
good,87,108
Mr,88,109
down,89,110
never,90,111
most,91,112
where,92,114
those,93,115
old,94,116
own,95,118
shall,96,119
le,97,120
come,98,121
project,99,122
without,100,123
day,101,128
might,102,129
long,103,130
through,104,131
himself,105,132
work,106,133
how,107,134
go,108,135
way,109,138
en,110,139
even,111,140
que,112,141
many,113,142
well,114,143
every,115,147
too,116,149
think,117,150
under,118,151
life,119,152
back,120,154
same,121,155
last,122,157
find,123,158
take,124,159
people,125,160
here,126,162
still,127,163
les,128,164
just,129,165
while,130,166
def,131,167
also,132,168
again,133,169
against,134,170
place,135,171
away,136,172
get,137,174
young,138,176
die,139,177
though,140,178
yet,141,179
give,142,181
hand,143,182
eye,144,183
ever,145,184
part,146,186
des,147,187
leave,148,188
thing,149,190
year,150,192
nothing,151,194
put,152,195
new,153,196
three,154,197
always,155,198
und,156,199
off,157,200
once,158,202
another,159,203
right,160,205
between,161,207
each,162,208
face,163,210
because,164,211
whom,165,212
few,166,214
der,167,215
tell,168,216
son,169,217
love,170,218
far,171,219
un,172,220
seem,173,221
house,174,222
hw,175,223
God,176,225
head,177,226
call,178,227
look,179,228
whole,180,230
set,181,231
Mrs,182,233
world,183,234
both,184,237
let,185,239
night,186,242
hear,187,244
mind,188,245
heart,189,248
se,190,250
qui,191,252
name,192,253
among,193,254
full,194,258
something,195,259
du,196,260
moment,197,261
country,198,263
er,199,264
almost,200,265
Gutenberg,201,266
soon,202,267
course,203,269
ask,204,272
small,205,273
ne,206,274
enough,207,275
il,208,276
want,209,277
side,210,278
woman,211,279
however,212,280
home,213,281
bring,214,282
whose,215,283
nor,216,284
father,217,285
quite,218,287
word,219,288
till,220,290
pos,221,291
use,222,293
until,223,297
end,224,298
turn,225,299
rather,226,300
thou,227,302
p,228,304
since,229,305
feel,230,306
Lord,231,308
dan,232,310
light,233,311
oh,234,312
next,235,313
begin,236,314
less,237,315
present,238,316
large,239,317
water,240,318
den,241,319
within,242,320
door,243,321
poor,244,322
certain,245,323
pas,246,325
send,247,326
often,248,327
tt,249,328
stand,250,329
power,251,330
room,252,332
half,253,333
public,254,334
themselves,255,335
morning,256,336
Sir,257,337
myself,258,338
keep,259,339
money,260,340
mother,261,341
b,262,343
une,263,344
thy,264,346
hundred,265,347
je,266,349
kind,267,350
order,268,351
war,269,352
mean,270,353
form,271,354
pour,272,355
round,273,357
receive,274,358
voice,275,359
believe,276,360
y,277,361
white,278,362
miss,279,363
anything,280,364
near,281,365
thus,282,367
pass,283,368
matter,284,369
read,285,373
true,286,374
point,287,377
herself,288,378
friend,289,380
state,290,381
person,291,382
wife,292,383
already,293,384
above,294,386
high,295,387
meet,296,388
together,297,390
why,298,391
perhaps,299,392
death,300,393
dear,301,394
fact,302,395
least,303,396
case,304,397
english,305,401
four,306,402
hope,307,403
au,308,404
along,309,405
sure,310,407
child,311,408
during,312,409
open,313,410
yes,314,411
several,315,413
king,316,414
indeed,317,415
therefore,318,416
number,319,417
foot,320,418
wish,321,419
girl,322,421
lay,323,422
either,324,423
hold,325,424
whether,326,425
letter,327,426
ce,328,427
help,329,428
free,330,429
general,331,430
vous,332,431
second,333,432
alone,334,433
return,335,434
nature,336,436
land,337,438
become,338,439
thousand,339,441
body,340,442
air,341,443
thee,342,444
sit,343,446
speak,344,447
United,345,448
itself,346,449
hour,347,452
John,348,453
reason,349,454
m,350,455
forth,351,456
follow,352,459
rest,353,460
term,354,461
business,355,462
electronic,356,463
behind,357,464
zu,358,466
cry,359,468
answer,360,469
plus,361,470
really,362,471
towards,363,473
lose,364,475
human,365,476
reply,366,477
five,367,480
different,368,483
care,369,484
fire,370,485
short,371,486
manner,372,487
city,373,489
fall,374,490
able,375,491
need,376,492
french,377,494
question,378,495
family,379,496
boy,380,497
cause,381,498
her,382,499
strong,383,502
par,384,503
ten,385,504
o,386,505
England,387,506
possible,388,507
dead,389,508
sur,390,511
foundation,391,512
live,392,513
around,393,514
doubt,394,515
hard,395,517
soul,396,519
sort,397,521
fine,398,522
lady,399,524
black,400,525
beautiful,401,526
sense,402,527
close,403,528
subject,404,529
town,405,531
law,406,533
evening,407,534
truth,408,535
sa,409,536
ground,410,537
understand,411,538
show,412,539
lui,413,540
write,414,541
n,415,542
common,416,543
e,417,545
ought,418,546
fear,419,547
dark,420,548
party,421,549
ready,422,551
force,423,552
carry,424,553
early,425,555
talk,426,557
account,427,558
ja,428,560
pay,429,561
across,430,562
arm,431,563
necessary,432,564
si,433,565
sometimes,434,566
earth,435,568
spirit,436,569
das,437,571
idea,438,572
ebook,439,573
character,440,574
reach,441,575
copyright,442,576
sea,443,577
appear,444,578
van,445,579
sight,446,580
interest,447,581
six,448,582
St,449,583
von,450,585
book,451,586
ye,452,589
continue,453,590
avec,454,591
strange,455,593
copy,456,594
age,457,595
story,458,598
sn,459,599
deep,460,600
nearly,461,601
line,462,602
footnote,463,605
later,464,606
suddenly,465,607
sir,466,608
add,467,609
sich,468,610
brother,469,611
neither,470,612
art,471,615
real,472,616
nicht,473,618
toward,474,619
rise,475,620
es,476,621
beyond,477,622
sie,478,625
mile,479,626
chapter,480,627
everything,481,628
pretty,482,629
act,483,630
suppose,484,631
ich,485,633
except,486,634
table,487,635
river,488,637
cut,489,638
change,490,640
past,491,642
nous,492,643
natural,493,644
enter,494,645
none,495,647
happy,496,648
position,497,651
France,498,652
else,499,653
clear,500,655
late,501,656
american,502,657
bed,503,659
cold,504,662
bad,505,663
sound,506,664
remember,507,665
view,508,666
lead,509,668
low,510,669
mit,511,671
forward,512,672
fair,513,673
although,514,674
purpose,515,676
knowledge,516,677
blood,517,681
comme,518,682
army,519,683
daughter,520,684
note,521,685
run,522,687
Dr,523,688
el,524,689
dem,525,692
effect,526,693
sun,527,695
road,528,696
ety,529,697
avait,530,698
husband,531,700
charge,532,701
try,533,702
certainly,534,703
important,535,704
literary,536,705
service,537,707
front,538,708
red,539,709
probably,540,711
future,541,712
pr,542,713
especially,543,715
quill,544,716
desire,545,717
elle,546,719
office,547,721
archive,548,722
London,549,723
La,550,725
te,551,726
big,552,727
peace,553,729
hair,554,730
pleasure,555,731
include,556,733
fld,557,734
horse,558,735
glad,559,736
remain,560,737
opinion,561,738
various,562,739
het,563,740
hath,564,741
bien,565,742
history,566,744
play,567,745
agreement,568,746
tout,569,748
cd,570,749
wild,571,751
ist,572,753
',573,755
government,574,756
donation,575,757
save,576,758
al,577,759
length,578,760
ah,579,761
master,580,762
latter,581,763
col,582,766
hardly,583,767
gold,584,768
paper,585,769
particular,586,770
mark,587,771
information,588,773
cette,589,774
bear,590,775
fellow,591,777
church,592,778
attention,593,779
accord,594,780
wind,595,781
per,596,782
company,597,784
walk,598,785
chief,599,786
strength,600,787
gentleman,601,789
mine,602,790
Paris,603,791
object,604,792
unless,605,794
duty,606,795
draw,607,796
single,608,797
distance,609,798
deal,610,800
mais,611,801
visit,612,802
beauty,613,805
heavy,614,807
ein,615,808
immediately,616,814
captain,617,815
unto,618,816
rich,619,820
plain,620,821
sweet,621,822
madame,622,823
minute,623,826
trouble,624,828
yourself,625,829
chance,626,831
regard,627,832
fill,628,833
s,629,834
tree,630,835
ou,631,836
presence,632,838
merely,633,839
auf,634,840
secret,635,842
former,636,844
mere,637,845
strike,638,847
learn,639,848
happen,640,851
influence,641,853
instead,642,855
condition,643,856
twenty,644,857
window,645,859
George,646,860
afraid,647,862
below,648,863
wrong,649,864
month,650,865
silence,651,867
May,652,868
break,653,869
raise,654,870
u,655,871
outside,656,872
catch,657,874
simple,658,876
lip,659,877
figure,660,878
ago,661,879
easily,662,881
noble,663,882
whatever,664,883
dit,665,884
thought,666,885
een,667,886
ancient,668,887
blue,669,888
agree,670,891
generally,671,892
easy,672,896
ship,673,897
action,674,898
stay,675,899
hat,676,900
move,677,901
property,678,902
fit,679,903
enemy,680,904
grow,681,907
afterwards,682,908
york,683,911
impossible,684,912
worth,685,914
http,686,915
arrive,687,916
occasion,688,917
please,689,919
green,690,920
marry,691,921
third,692,923
mouth,693,924
sleep,694,925
period,695,926
fresh,696,927
faith,697,928
system,698,929
entirely,699,934
smile,700,936
blockquote,701,937
usual,702,939
Charles,703,940
cover,704,941
appearance,705,942
bind,706,943
respect,707,944
quiet,708,945
beside,709,946
dinner,710,947
expression,711,948
stop,712,949
William,713,950
slowly,714,951
considerable,715,952
prince,716,953
somewhat,717,954
wonder,718,957
PROJECT,719,958
Mary,720,959
provide,721,961
etext,722,962
german,723,963
perfect,724,964
court,725,965
exclaim,726,966
youth,727,967
cost,728,969
etc,729,970
scarcely,730,971
sudden,731,972
christian,732,973
evil,733,974
danger,734,975
main,735,976
battle,736,977
command,737,979
notice,738,980
piece,739,981
political,740,982
sister,741,983
proper,742,985
c,743,986
start,744,987
consider,745,988
british,746,989
allow,747,990
expect,748,991
joy,749,992
private,750,993
bright,751,994
result,752,995
school,753,998
language,754,1000
House,755,1002
los,756,1003
individual,757,1004
south,758,1005
mon,759,1006
food,760,1008
wide,761,1009
week,762,1012
seven,763,1014
tear,764,1015
opportunity,765,1017
value,766,1019
och,767,1020
wait,768,1021
observe,769,1024
support,770,1025
due,771,1026
village,772,1027
fight,773,1029
experience,774,1030
medium,775,1034
stone,776,1035
circumstance,777,1039
domain,778,1040
discover,779,1041
personal,780,1042
access,781,1043
Henry,782,1044
offer,783,1048
grand,784,1050
effort,785,1051
society,786,1052
boat,787,1053
san,788,1054
date,789,1057
original,790,1058
difficult,791,1061
conversation,792,1062
produce,793,1065
officer,794,1066
paragraph,795,1067
cast,796,1068
top,797,1070
tone,798,1072
laugh,799,1073
intend,800,1075
determine,801,1076
indian,802,1077
step,803,1081
honour,804,1082
direction,805,1083
news,806,1085
terrible,807,1086
silent,808,1087
eight,809,1090
prepare,810,1092
lie,811,1093
scene,812,1094
attempt,813,1097
likely,814,1099
associate,815,1100
fifty,816,1102
fast,817,1103
street,818,1104
wall,819,1105
troop,820,1107
modern,821,1108
usually,822,1109
military,823,1110
author,824,1111
field,825,1112
heaven,826,1113
fee,827,1114
quickly,828,1116
perfectly,829,1117
authority,830,1118
soft,831,1119
bit,832,1120
chair,833,1121
hot,834,1123
d'un,835,1129
summer,836,1131
dat,837,1132
afternoon,838,1133
declare,839,1135
passage,840,1136
music,841,1137
Christ,842,1138
soldier,843,1139
require,844,1140
picture,845,1141
simply,846,1142
pleasant,847,1143
fix,848,1144
permission,849,1145
speech,850,1146
marriage,851,1147
study,852,1149
race,853,1150
religious,854,1151
west,855,1152
w,856,1154
L,857,1155
beneath,858,1156
duke,859,1157
ill,860,1158
Tom,861,1159
official,862,1160
distribute,863,1162
spend,864,1163
roman,865,1164
justice,866,1167
straight,867,1168
trust,868,1169
equal,869,1171
eat,870,1172
north,871,1173
v,872,1174
kill,873,1175
throw,874,1176
physical,875,1177
religion,876,1178
watch,877,1180
forget,878,1182
ex,879,1184
instant,880,1186
middle,881,1189
sin,882,1191
o'clock,883,1192
success,884,1193
build,885,1194
lord,886,1196
oblige,887,1198
fortune,888,1199
spite,889,1200
wise,890,1201
moral,891,1203
aux,892,1207
plan,893,1208
touch,894,1210
flower,895,1214
social,896,1215
rate,897,1217
garden,898,1218
Father,899,1220
corner,900,1222
James,901,1223
eine,902,1227
island,903,1228
spring,904,1229
pain,905,1232
wood,906,1233
instance,907,1234
vain,908,1236
directly,909,1237
sufficient,910,1239
happiness,911,1240
journey,912,1241
pale,913,1242
dress,914,1243
ourselves,915,1244
conduct,916,1245
worthy,917,1246
non,918,1248
grave,919,1250
possession,920,1251
legal,921,1252
queen,922,1253
special,923,1256
nation,924,1261
warm,925,1263
degree,926,1264
memory,927,1266
promise,928,1268
wie,929,1269
situation,930,1270
foreign,931,1273
deux,932,1274
greek,933,1275
Rome,934,1276
member,935,1277
vast,936,1278
ma,937,1279
escape,938,1280
sake,939,1281
loss,940,1282
prove,941,1283
était,942,1285
complete,943,1286
passion,944,1287
leur,945,1288
shoot,946,1289
difficulty,947,1290
courage,948,1292
ordinary,949,1294
mighty,950,1295
native,951,1297
concern,952,1299
accept,953,1301
board,954,1302
serious,955,1303
spread,956,1304
del,957,1306
spot,958,1309
colonel,959,1310
twelve,960,1311
wonderful,961,1312
prevent,962,1314
camp,963,1316
di,964,1317
winter,965,1319
excellent,966,1320
additional,967,1321
America,968,1322
Michael,969,1323
tax,970,1324
fait,971,1326
car,972,1327
faire,973,1328
distribution,974,1329
example,975,1330
silver,976,1331
glass,977,1332
share,978,1333
century,979,1334
engage,980,1335
class,981,1338
shake,982,1340
train,983,1341
mention,984,1342
lot,985,1344
Europe,986,1346
decide,987,1352
particularly,988,1353
greatly,989,1354
method,990,1355
finally,991,1356
curious,992,1357
opposite,993,1358
describe,994,1361
pure,995,1363
floor,996,1365
existence,997,1368
thirty,998,1369
xpage,999,1370
refund,1000,1374
affair,1001,1375
sorry,1002,1376
servant,1003,1378
besides,1004,1379
safe,1005,1380
anxious,1006,1382
doctor,1007,1383
extent,1008,1385
narrow,1009,1387
pride,1010,1388
breath,1011,1389
repeat,1012,1391
similar,1013,1392
surprise,1014,1394
